City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Macamic,CA,2021-10-18 19:48:15,48.7502,-78.9996,41.23,73,100,8.61
224,Sao Joao Da Barra,BR,2021-10-18 19:43:00,-21.6403,-41.0511,73.49,87,95,10.58
225,Bom Jesus,BR,2021-10-18 19:39:39,-9.0744,-44.3586,93.51,26,96,5.39
226,Codrington,AU,2021-10-18 19:45:42,-38.2667,141.9667,48.36,87,47,8.41
227,Bengkulu,ID,2021-10-18 19:44:07,-3.8004,102.2655,73.15,95,100,2.55
228,Biloela,AU,2021-10-18 19:48:16,-24.4167,150.5,63.05,77,0,2.37
229,Kenora,CA,2021-10-18 19:43:48,49.8167,-94.4337,69.19,40,40,16.11
230,Pafos,CY,2021-10-18 19:44:24,34.7667,32.4167,71.51,64,75,10.36
231,Mayo,US,2021-10-18 19:48:18,38.8876,-76.5119,70.39,43,40,10.0
232,Arman,RU,2021-10-18 19:45:39,59.7,150.1667,11.79,50,3,8.88
233,Waipawa,NZ,2021-10-18 19:39:08,-41.4122,175.5153,54.45,63,0,15.03
234,Yarada,IN,2021-10-18 19:43:29,17.65,83.2667,82.72,94,75,2.3
235,Upernavik,GL,2021-10-18 19:42:57,72.7868,-56.1549,26.96,47,100,6.69
236,Tura,IN,2021-10-18 19:45:34,25.5198,90.2201,72.21,99,100,5.64
237,Volda,NO,2021-10-18 19:48:20,62.1476,6.0741,45.75,93,0,2.3
238,Soddy-Daisy,US,2021-10-18 19:48:20,35.2359,-85.1908,73.09,50,0,0.51
239,Poum,NC,2021-10-18 19:40:01,-20.2333,164.0167,75.7,84,97,15.14
240,Vestmannaeyjar,IS,2021-10-18 19:38:32,63.4427,-20.2734,48.49,83,100,15.57
241,Saint-Georges,GD,2021-10-18 19:48:21,12.0564,-61.7485,80.28,94,75,0.0
242,Agadez,NE,2021-10-18 19:46:54,19.75,10.25,85.93,23,78,6.69
243,Ouadda,CF,2021-10-18 19:48:22,8.0777,22.4007,68.95,96,100,3.6
244,Mbandaka,CD,2021-10-18 19:48:23,0.0487,18.2603,74.68,85,61,2.77
245,Benguela,AO,2021-10-18 19:48:23,-12.5763,13.4055,74.79,78,58,2.01
246,Tubmanburg,LR,2021-10-18 19:48:24,6.8708,-10.8172,74.21,96,15,2.06
247,Tevaitoa,PF,2021-10-18 19:48:25,-16.7833,-151.5,79.68,79,67,17.25
